"","espn_id","search_rank","sportradar_id","injury_status","birth_city","swish_id","birth_date","practice_description","pandascore_id","active","birth_state","stats_id","injury_start_date","injury_notes","birth_country","hashtag","status","news_updated","years_exp","search_full_name","rotowire_id","team","full_name","practice_participation","sport","last_name","search_last_name","fantasy_positions","weight","fantasy_data_id","age","metadata","search_first_name","opta_id","first_name","gsis_id","team_abbr","college","yahoo_id","position","oddsjam_id","rotoworld_id","depth_chart_position","number","injury_body_part","high_school","depth_chart_order","height","player_id"
"1",3926590,9999999,"efd6f3c3-b752-4bc2-a4f2-b776c15c3ec0",NA,NA,NA,"1995-02-12",NA,NA,"TRUE",NA,887183,NA,NA,NA,"#ellisrichardson-NFL-FA-45","Active",NA,3,"ellisrichardson",14134,NA,"Ellis Richardson",NA,"nfl","Richardson","richardson","TE","245",21427,26,"1116853254748110848","ellis",NA,"Ellis"," 00-0035057",NA,"Georgia Southern",32262,"TE",NA,NA,NA,45,NA,"Douglas County",NA,"75","6462"
"2",NA,9999999,"55510c00-ead2-11ed-999e-03b49558b5db",NA,NA,1052592,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,"#nickamoah-NFL-FA-63","Active",NA,0,"nickamoah",NA,NA,"Nick Amoah",NA,"nfl","Amoah","amoah","OL","306",NA,NA,"1116852669114220544","nick",NA,"Nick",NA,NA,"UC Davis",NA,"OL",NA,NA,NA,63,NA,"Davis (CA)",NA,"74","11255"
"3",NA,9999999,"3c804b10-d3a8-11ec-96a0-c3471a31202c",NA,NA,1131137,NA,NA,NA,"TRUE",NA,NA,NA,NA,NA,"#malkelmmorrison-NFL-FA-0","Injured Reserve",1653351613345,1,"malkelmmorrison",16558,NA,"Malkelm Morrison",NA,"nfl","Morrison","morrison","DB","186",NA,NA,"1116853537213513728","malkelm",NA,"Malkelm",NA,NA,"Army",NA,"CB",NA,NA,NA,0,NA,"Iona Prep (NY)",NA,"70","8842"
"4",NA,426,"fde9c52b-0e2f-46e7-9b0e-9ada612ecec3",NA,NA,866047,"1997-02-06",NA,NA,"TRUE",NA,NA,NA,NA,NA,"#carltucker-NFL-FA-0","Active",1631568053348,1,"carltucker",15412,NA,"Carl Tucker",NA,"nfl","Tucker","tucker","TE","250",NA,24,"1116853436709601280","carl",NA,"Carl",NA,NA,"Alabama",NA,"TE",NA,NA,NA,0,NA,"Hough (NC)",NA,"74","7926"
"5",16720,223,"bf5f7564-349a-439a-a8a9-4ddb10448a8d",NA,NA,557173,"1992-06-19",NA,NA,"TRUE",NA,NA,NA,NA,NA,"#cjmosley-NFL-NYJ-57","Active",1710430803789,10,"cjmosley",9380,"NYJ","C.J. Mosley",NA,"nfl","Mosley","mosley","LB","231",16093,32,"1113708745461886977","cj",NA,"C.J.","00-0031296",NA,"Alabama",27545,"LB","97CDFFA7FA4D",9631,"MLB",57,NA,"Theodore (AL)",1,"74","1875"
"6",NA,9999999,"75c1ed8d-4f05-43c1-b398-f212984b6b8b",NA,NA,1085180,"1999-07-07",NA,NA,"TRUE",NA,NA,NA,NA,NA,"#samuelwomack-NFL-SF-0","Active",1700784628441,2,"samuelwomack",16274,"SF","Samuel Womack",NA,"nfl","Womack","womack","DB","189",NA,25,"1113708876978483201","samuel",NA,"Samuel",NA,NA,"Toledo",NA,"CB","0823DA35726D",NA,"RCB",0,NA,"East English Village Prep (MI)",2,"70","8478"
"7",14297,9999999,"e9a0297a-0b34-4c55-af1f-ca113d672195",NA,NA,NA,"1987-08-17",NA,NA,"FALSE",NA,512802,NA,NA,NA,"#ronparker-NFL-FA-0","Injured Reserve",1578330037366,11,"ronparker",7817,NA,"Ron Parker",NA,"nfl","Parker","parker","DB","206",13476,34,NA,"ron",NA,"Ron","00-0028445",NA,"Newberry",25090,"FS",NA,6811,NA,0,NA,"Beaufort (SC)",NA,"72","995"
"8",15825,235,"7735c02a-ee75-447c-86e6-6c2168500050",NA,NA,543654,"1992-02-18",NA,NA,"TRUE",NA,543654,NA,NA,NA,"#leveonbell-NFL-TB-6","Active",1707165960874,9,"leveonbell",8617,"TB","Le'Veon Bell",NA,"nfl","Bell","bell","RB","225",14967,29,"1116852736248250368","leveon",NA,"Le'Veon","00-0030496",NA,"Michigan State",26671,"RB",NA,8390,NA,6,NA,"Groveport Madison (OH)",NA,"73","1408"
"9",NA,NA,"22ec09a7-6001-43b7-adf9-cf0df941ad0e",NA,NA,NA,"1997-05-02",NA,NA,"TRUE",NA,NA,NA,NA,NA,"#mattseybert-NFL-FA-41","Active",1629836727949,1,"mattseybert",15785,NA,"Matt Seybert",NA,"nfl","Seybert","seybert","TE","252",NA,24,"1116853462399713280","matt",NA,"Matt",NA,NA,"Michigan State",NA,"TE",NA,NA,NA,41,NA,"St. Francis (MI)",NA,"76","8074"
"10",10613,9999999,"a2907a39-139b-483f-8369-e278c26a6951",NA,NA,NA,"1985-01-01",NA,NA,"FALSE",NA,229499,NA,NA,NA,"#williamgay-NFL-FA-25","Inactive",1534088707204,13,"williamgay",6211,NA,"William Gay",NA,"nfl","Gay","gay","DB","187",4122,35,NA,"william",NA,"William","00-0025557",NA,"Louisville",8424,"CB",NA,4319,NA,25,NA,"James R. Rickards (FL)",NA,"5'10""","156"
"11",3921709,9999999,"3f95afdc-2140-424b-8250-7d4e273c2efc",NA,NA,881687,"1997-02-21",NA,NA,"TRUE",NA,NA,NA,NA,NA,"#javinwhite-NFL-CHI-60","Active",1721609703351,4,"javinwhite",14902,"CHI","Javin White",NA,"nfl","White","white","DB","211",22303,27,"1116853366710861824","javin",NA,"Javin",NA,NA,"UNLV",33318,"LB","8ADDCA292DD5",NA,"LB",60,NA,"McClymonds (CA)",NA,"74","7311"
"12",16890,9999999,"ba905b34-8412-4553-9055-3460368cc608",NA,NA,560235,"1992-01-30",NA,NA,"TRUE",NA,560235,NA,NA,NA,"#bashaudbreeland-NFL-ARI-24","Active",1641345029845,8,"bashaudbreeland",9648,"ARI","Bashaud Breeland",NA,"nfl","Breeland","breeland","DB","197",16407,30,"1116852779298586624","bashaud",NA,"Bashaud"," 00-0031052",NA,"Clemson",27630,"CB",NA,9585,NA,24,NA,"Allendale-Fairfax (SC)",NA,"71","2091"
"13",NA,154,"110e6fe0-1c34-11ee-8294-af17faac15de",NA,NA,1454349,"1995-03-14",NA,NA,"TRUE",NA,NA,NA,NA,NA,"#brandonaubrey-NFL-DAL-17","Active",1706637651312,1,"brandonaubrey",17649,"DAL","Brandon Aubrey",NA,"nfl","Aubrey","aubrey","K","218",NA,29,"1113708850915078145","brandon",NA,"Brandon",NA,NA,"Notre Dame",NA,"K","872D94B3727D",NA,"K",17,NA,"Plano Senior (TX)",1,"75","11533"
"14",2578542,9999999,"faf5f854-73af-4ab9-8f19-95ea75431d45",NA,NA,NA,"1991-09-20",NA,NA,"FALSE",NA,NA,NA,NA,NA,"#amarloherrera-NFL-FA-56","Inactive",NA,5,"amarloherrera",10372,NA,"Amarlo Herrera",NA,"nfl","Herrera","herrera","LB","249",16967,28,NA,"amarlo",NA,"Amarlo",NA,NA,"Georgia",28595,"LB",NA,NA,NA,56,NA,"North Clayton",NA,"6'1""","2508"
"15",17141,9999999,"25a958c9-4035-43ad-8c9c-1309ea592e66",NA,NA,NA,"1989-08-17",NA,NA,"TRUE",NA,498200,NA,NA,NA,"#kasimedebali-NFL-FA-95","Inactive",1572497732686,8,"kasimedebali",9378,NA,"Kasim Edebali",NA,"nfl","Edebali","edebali","DL","253",16570,32,"1116852786479235072","kasim",NA,"Kasim","00-0031255",NA,"Boston College",27923,"DE",NA,NA,NA,95,NA,"Kimball Union (NH)",NA,"74","2199"
